 County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
Weber,49057,0.4527691,0.025851251,0.021619968,0.120309502,0.013438776,0.21462329,0,0.009810206,0.024659764,0.022456343
Addison,50001,0.117432754,0.006327298,0.007964173,0.024526907,0,0.056628323,0,0.003993167,0.010037564,0.007955323
Bennington,50003,0.126458429,0.008926148,0.003202366,0.024518377,0,0.07308706,0,0.003296438,0.008286206,0.005141832
Caledonia,50005,0.104190596,0.004922671,0.003540984,0.025734125,5.91208E-05,0.064348886,0,0.000227283,0.000571321,0.004786205
Chittenden,50007,0.64715916,0.094524621,0.043686189,0.131156191,0.072913996,0.214690058,0,0.019017943,0.047805111,0.023365053
Essex,50009,0.02234639,0.000382414,0.001005084,0.005656605,0,0.009134999,0,0,0,0.006167289
Franklin,50011,0.156643947,0.013075616,0.018606097,0.042958344,3.42874E-06,0.064493486,0,0.002527869,0.006354265,0.008624842
Grand Isle,50013,0.024134676,0.00046137,2.74203E-05,0.005277649,0,0.010518092,0,0,0,0.007850145
Lamoille,50015,0.078240743,0.005937699,0.000645357,0.018105405,0,0.042050894,0,0.002035389,0.005116327,0.004349672
Orange,50017,0.097343446,0.003218179,0.001563583,0.022763935,0.000242652,0.06065415,0,0.001022409,0.002570013,0.005308526
Orleans,50019,0.078126607,0.004009152,0.001679085,0.019860586,0,0.043864792,0,0.000792454,0.00199198,0.005928558
Rutland,50021,0.192961637,0.014191517,0.004697964,0.041701535,2.57683E-06,0.111385959,0,0.003481851,0.008752278,0.008747956
Washington,50023,0.198235001,0.014752019,0.00368314,0.044887412,0,0.106382689,0,0.006139004,0.015431524,0.006959215
Windham,50025,0.219964111,0.012596444,0.015686472,0.030225536,0,0.151740971,0,0,0,0.009714688
Windsor,50027,0.21505762,0.01111561,0.002916754,0.042518621,0,0.147211776,0,0.001041628,0.002618321,0.007634911
Accomack,51001,0.216958434,0.005131845,0.07660675,0.012933096,0.024320681,0.063638967,0,0.002417674,0.006077264,0.025832157
Albemarle,51003,0.342376403,0.03077765,0.048815932,0.022882714,0.000243564,0.17859165,0,0.012296362,0.030909178,0.017859353
Alleghany,51005,0.086415575,0.001187207,0.032519607,0.005248934,0,0.040189765,0,0,0,0.007270061
Amelia,51007,0.03980708,0.000457244,0.00564843,0.003572592,0.00175087,0.025623029,0,0,0,0.002754914
Amherst,51009,0.113593266,0.002358053,0.049382908,0.009335838,0,0.04790048,0,0,0,0.004615987
Appomattox,51011,0.055531152,0.000741142,0.023752492,0.004218828,0,0.02452609,0,0,0,0.0022926
Arlington,51013,0.562050956,0.052276649,0.053625099,0.050556333,0,0.225234905,0,0.041948435,0.105445138,0.032964397
Augusta,51015,0.332560597,0.005168633,0.111751033,0.020229596,0,0.174239065,0,0.00255803,0.006430082,0.012184156
Bath,51017,0.019935999,0.00071435,0.00625112,0.001731441,0,0.008120588,0,0.000579991,0.001457914,0.001080596
Bedford,51019,0.207844659,0.003177872,0.096618186,0.018030168,7.13998E-06,0.079835195,0,0,0,0.010176098
Bland,51021,0.049081785,0.001488275,0.006454793,0.00208513,0,0.038116618,0,0,0,0.000936969
Botetourt,51023,0.300005707,0.001933607,0.030753023,0.009160141,0,0.117732281,0.134950389,0,0,0.005476265
Brunswick,51025,0.077414408,0.001116845,0.014014213,0.005492841,0,0.054224549,0,0,0,0.002565959
Buchanan,51027,0.064225061,0.002826017,0.00912112,0.007664355,0.002295828,0.037895043,0,0.000476719,0.001198321,0.002747658
Buckingham,51029,0.037330889,0.001359581,0.005828872,0.004629101,0,0.022901332,0,0,0,0.002612003
Campbell,51031,0.345099565,0.003068651,0.107821715,0.015073951,0.101214979,0.081024581,0,0.007328384,0.018421244,0.01114606
