Id,Id2,code,med_inc,ZIP
8600000US12148,12148,ZCTA5 12148,101307,12148
8600000US12149,12149,ZCTA5 12149,51000,12149
8600000US12150,12150,ZCTA5 12150,64286,12150
8600000US12151,12151,ZCTA5 12151,72321,12151
8600000US12153,12153,ZCTA5 12153,87393,12153
8600000US12154,12154,ZCTA5 12154,66579,12154
8600000US12155,12155,ZCTA5 12155,51304,12155
8600000US12156,12156,ZCTA5 12156,78170,12156
8600000US12157,12157,ZCTA5 12157,53929,12157
8600000US12158,12158,ZCTA5 12158,81006,12158
8600000US12159,12159,ZCTA5 12159,87927,12159
8600000US12160,12160,ZCTA5 12160,58333,12160
8600000US12161,12161,ZCTA5 12161,,12161
8600000US12164,12164,ZCTA5 12164,58125,12164
8600000US12165,12165,ZCTA5 12165,105833,12165
8600000US12166,12166,ZCTA5 12166,43646,12166
8600000US12167,12167,ZCTA5 12167,46875,12167
8600000US12168,12168,ZCTA5 12168,60417,12168
8600000US12169,12169,ZCTA5 12169,50938,12169
8600000US12170,12170,ZCTA5 12170,66450,12170
8600000US12172,12172,ZCTA5 12172,46806,12172
8600000US12173,12173,ZCTA5 12173,68857,12173
8600000US12174,12174,ZCTA5 12174,57917,12174
8600000US12175,12175,ZCTA5 12175,48456,12175
8600000US12176,12176,ZCTA5 12176,75760,12176
8600000US12177,12177,ZCTA5 12177,70250,12177
8600000US12180,12180,ZCTA5 12180,49283,12180
8600000US12182,12182,ZCTA5 12182,40327,12182
8600000US12183,12183,ZCTA5 12183,55000,12183
8600000US12184,12184,ZCTA5 12184,77500,12184
8600000US12185,12185,ZCTA5 12185,72400,12185
8600000US12186,12186,ZCTA5 12186,86648,12186
8600000US12187,12187,ZCTA5 12187,49464,12187
8600000US12188,12188,ZCTA5 12188,62439,12188
8600000US12189,12189,ZCTA5 12189,49157,12189
8600000US12190,12190,ZCTA5 12190,43000,12190
8600000US12192,12192,ZCTA5 12192,63462,12192
8600000US12193,12193,ZCTA5 12193,76786,12193
8600000US12194,12194,ZCTA5 12194,61250,12194
8600000US12195,12195,ZCTA5 12195,,12195
8600000US12196,12196,ZCTA5 12196,92500,12196
8600000US12197,12197,ZCTA5 12197,44250,12197
8600000US12198,12198,ZCTA5 12198,82899,12198
8600000US12202,12202,ZCTA5 12202,25952,12202
8600000US12203,12203,ZCTA5 12203,51842,12203
8600000US12204,12204,ZCTA5 12204,49408,12204
8600000US12205,12205,ZCTA5 12205,64161,12205
8600000US12206,12206,ZCTA5 12206,28239,12206
8600000US12207,12207,ZCTA5 12207,10675,12207
8600000US12208,12208,ZCTA5 12208,56018,12208
8600000US12209,12209,ZCTA5 12209,52788,12209
8600000US12210,12210,ZCTA5 12210,43535,12210
8600000US12211,12211,ZCTA5 12211,90734,12211
8600000US12222,12222,ZCTA5 12222,,12222
8600000US12302,12302,ZCTA5 12302,66437,12302
8600000US12303,12303,ZCTA5 12303,62402,12303
8600000US12304,12304,ZCTA5 12304,48427,12304
8600000US12305,12305,ZCTA5 12305,25552,12305
8600000US12306,12306,ZCTA5 12306,59816,12306
8600000US12307,12307,ZCTA5 12307,17772,12307
8600000US12308,12308,ZCTA5 12308,43908,12308
8600000US12309,12309,ZCTA5 12309,92904,12309
8600000US12401,12401,ZCTA5 12401,46071,12401
8600000US12404,12404,ZCTA5 12404,71615,12404
8600000US12405,12405,ZCTA5 12405,44485,12405
8600000US12406,12406,ZCTA5 12406,41111,12406
8600000US12407,12407,ZCTA5 12407,70833,12407
8600000US12409,12409,ZCTA5 12409,65625,12409
8600000US12410,12410,ZCTA5 12410,60469,12410
8600000US12411,12411,ZCTA5 12411,81518,12411
8600000US12412,12412,ZCTA5 12412,50568,12412
8600000US12413,12413,ZCTA5 12413,33468,12413
8600000US12414,12414,ZCTA5 12414,46925,12414
8600000US12416,12416,ZCTA5 12416,25050,12416
8600000US12417,12417,ZCTA5 12417,50549,12417
8600000US12418,12418,ZCTA5 12418,63393,12418
8600000US12419,12419,ZCTA5 12419,55893,12419
8600000US12420,12420,ZCTA5 12420,86466,12420
8600000US12421,12421,ZCTA5 12421,45313,12421
8600000US12422,12422,ZCTA5 12422,67569,12422
8600000US12423,12423,ZCTA5 12423,40750,12423
8600000US12424,12424,ZCTA5 12424,38750,12424
8600000US12427,12427,ZCTA5 12427,89044,12427
8600000US12428,12428,ZCTA5 12428,45565,12428
8600000US12429,12429,ZCTA5 12429,,12429
8600000US12430,12430,ZCTA5 12430,50530,12430
8600000US12431,12431,ZCTA5 12431,39907,12431
8600000US12432,12432,ZCTA5 12432,58913,12432
8600000US12433,12433,ZCTA5 12433,134261,12433
8600000US12434,12434,ZCTA5 12434,28083,12434
8600000US12435,12435,ZCTA5 12435,34205,12435
8600000US12436,12436,ZCTA5 12436,,12436
8600000US12438,12438,ZCTA5 12438,101250,12438
8600000US12439,12439,ZCTA5 12439,37188,12439
8600000US12440,12440,ZCTA5 12440,51375,12440
8600000US12441,12441,ZCTA5 12441,116500,12441
8600000US12442,12442,ZCTA5 12442,28472,12442
