BINs,Type,Score,S_EUI,BBL
1077504;1077538;1077539;1077540;1077541;1077543;1077544;1077545;1077546;1077547;1077548;1077549;1077550;1077507;1077551;1077552;1077553;1077554;1077555;1077896;1078045;1078046;1078047;1078048;1078049;1078050;1078051;1078052;1078053;1078054;1078055;1078056,Multifamily Housing,20,,1003620010
See Primary BBL,See Primary BBL,,,1003670001
See Primary BBL,See Primary BBL,,,1003620001
See Primary BBL,See Primary BBL,,,1003560001
See Primary BBL,See Primary BBL,,,1003230001
1086167,Multifamily Housing,55,138.4,1003720060
1075621;1075622;1075623;1075625;1075627;1084354;1087354,Multifamily Housing,28,,1003750001
See Primary BBL,See Primary BBL,,,1003750045
See Primary BBL,See Primary BBL,,,1003870020
See Primary BBL,See Primary BBL,,,1003870129
See Primary BBL,See Primary BBL,,,1003870144
See Primary BBL,See Primary BBL,,,1003750063
See Primary BBL,See Primary BBL,,,1003870033
1075828,Multifamily Housing,,96.8,1003760058
1089381,Multifamily Housing,,112.3,1003777503
1075834,Police Station,,184.1,1003780001
1084876;1085092;1802041,Multifamily Housing,38,,1003780017
1004551,Non-Refrigerated Warehouse,,55.2,1003790027
1083141;1083146;1083144;1083142;1083143,Multifamily Housing,39,127.3,1003820001
1078021;1078024;1078025;1811643;1078022,Multifamily Housing,79,100.5,1003820100
1079679,Multifamily Housing,29,150.4,1003857501
1004617,Multifamily Housing,27,176.5,1003860033
1085478,Multifamily Housing,92,92,1003900011
1004715,Multifamily Housing,2,237.1,1003907502
1004784,Multifamily Housing,73,117.6,1003927501
1079061,Multifamily Housing,100,34.2,1003950009
1004927,Multifamily Housing,33,159.7,1003950012
1077502;1077503,Multifamily Housing,69,,1003960010
1004960,Multifamily Housing,1,273.5,1003970063
1004966,Multifamily Housing,58,112.5,1003980008
1004976,Multifamily Housing,38,175.5,1003980035
Not Available,Multifamily Housing,97,80.6,1004000001
1075676,Hotel,18,334.8,1004100048
