BINs,Type,Score,S_EUI,BBL
4463808;4450372;4450355;4459486;4459499;4450350;4459487;4450335;4450340;4450381;4450388;4459475;4450394;4459512;4463807;4463806;4463809,Multifamily Housing,21,149.8,4064940003
4450395;4450396,Multifamily Housing,80,132.8,4065270050
4141901,Multifamily Housing,57,140.2,4065270052
4450656,Multifamily Housing,37,152.9,4065370028
4450746,Multifamily Housing,67,127.4,4065400003
4459260;4540919,Multifamily Housing,44,158,4065420003
4142148,Multifamily Housing,52,109.8,4065427501
4530164;4446707;4446708;4446709;4446710;4446711;4446712;4446713;4446714;4446715;4446716;4446717;4446718;4446719;4446720;4458334;4530161;4530162;4530163;4530164;4530165;4530166;4530167;4530168;4530169;4530170;4530171;4530172;4530173;4530174;4530175;4530176,Multifamily Housing,,134.6,4065487501
4447676;4447677;4447678;4451198;4451199;4451200;4451201;4451202;4451203;4451204;4451205;4451206;4451207;4451208;4451209;4451210;4451211;4451212;4451213;4451214;4451215;4451216;4451217;4447666;4447668;4447669;4447670;4447671;4447672;4447673;4447674;4447675,Multifamily Housing,100,59,4065870006
4440300;4440302;4440303;4440304;4440305;4440306;4440307;4440308;4440309;4440310;4440311;4440992;4440288;4440289;4440290;4440291;4440292;4440293;4440294;4440295;4440296;4440297;4440298;4440299;4440301;4440312,Multifamily Housing,100,52.6,4066070001
4451275,Multifamily Housing,32,131.6,4066310001
4451295,Multifamily Housing,21,142,4066320001
4143568,Multifamily Housing,13,153.6,4066330001
4455293,Multifamily Housing,89,,4066360001
4143956,K-12 School,,,4066470035
4540754,Multifamily Housing,64,111,4066560063
4440143;4440145;4440148;4440150;4440149;4440146;4440142;4440147;4440153;4440154,Multifamily Housing,48,154.3,4066700001
4448190;4808174;4448191;4448192;4448193;4448194;4448195;4448196;4448197;4448198;4448199;4448200;4448201;4448202;4807455;4539110;4539111,Multifamily Housing,48,154.3,4066710001
4144493,College/University,,,4066850001
4144768,Multifamily Housing,,,4066900016
4806862;4451489;4451490;4451491;4451492;4451493;4451494;4451495;4451496,Multifamily Housing,69,122.7,4066980040
4451500;4451501;4451502;4451503;4451506;4451507;4451498;4451499;4451508;4451497;4451504;4451505 ,Multifamily Housing,11,176.3,4067010001
4451520;4451509;4451510;4451511;4451518;4451519;4451514;4451515;4451512;4451513;4451516;4451517,Multifamily Housing,15,170.7,4067020001
4451532;4451521;4451522;4451523;4451530;4451531;4451526;4451527;4451524;4451525;4451528;4451529,Multifamily Housing,11,177,4067030002
4448169;4451533;4448164;4451534;4448168;4451538;4448166;4451536;4448165;4451535;4448167;4451537,Multifamily Housing,24,155.2,4067040001
4145164,Multifamily Housing,53,129.1,4067110027
4145197,Multifamily Housing,,97.1,4067120001
4145198,Multifamily Housing,55,132.6,4067120032
4446721;4446722;4849146,Multifamily Housing,100,71.3,4067137501
4530506;4530585;4530581;4530569;4530566;4530567;4530563;4530584;4530596;4530591;4530508;4530509;4530524;4530617;4530558;4530541;4530542;4530548;4530543;4530544;4530530;4530616;4530588;4530602;4530601;4530531;4530540;4530590;4530589;4530532;4530546;4530545,Multifamily Housing,53,110.5,4067150002
4451548,Multifamily Housing,51,155.4,4067890015
4146991,Mixed Use Property,,230.3,4067890065
4455379,Multifamily Housing,91,97.5,4067900001
4518548,Parking,,3.7,4067900020
4438296;4438294;4438295,Office,4,408.7,4067900022
4451568,Multifamily Housing,99,79.8,4067910001
4440184,Multifamily Housing,58,140,4067910025
4451584;4451585;4451586;4451587;4451588;4451589;4451590;4451591;4451592;4451593;4451594;4455414;4455415;4455416;4455417;4455418;4455419;4455420;4455421;4455422;4455423;4455424;4455425;4455426;4455427;4455428;4455429;4455430;4455431;4455432;4455433;4455434,Multifamily Housing,8,191.7,4067920001
See Primary BBL,See Primary BBL,,,4067920030
4455438,Multifamily Housing,99,81.3,4067920600
4455468,Multifamily Housing,5,,4067930126
4451595; 4451596,Multifamily Housing,77,110.6,4067930225
4467448,Multifamily Housing,31,137.3,4067970054
4531560,Multifamily Housing,3,230,4067970079
4449888,Multifamily Housing,52,105.3,4067977501
4147134;4449517;4449518;4449519;4449520;4449521;4449522;4449523;4449524;4449525;4449526;4449527;4449528;4449529;4449530;4449531;4449532;4449533;4449534;4449535;4449536;4449537;4449538;4449539;4449540;4449541;4449542;4449543;4449544;4449545;4449546;4449547,Multifamily Housing,73,96.5,4067977502
4147000,Multifamily Housing,4,222.1,4067977503
4537678,Multifamily Housing,97,63.3,4068017503
4147950,Office,,284.6,4068310022
4148338,Multifamily Housing,15,,4068520011
4454852;4595639;4595640;4595641;4595642;4595643;4595644;4595647;4595648;4595649;4595650;4595651;4595652;4595653;4595654;4595655;4595658;4595659;4595660;4595661;4595662;4595663,College/University,,305.2,4070210100
4439486,Retail Store,,1186.1,4070750001
4463781,Multifamily Housing,1,219,4071150002
4454260,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,128.9,4071150030
4443994,Multifamily Housing,1,694.3,4071170002
4444040,Multifamily Housing,1,295.6,4071170003
4444049,Retail Store,,176.5,4071170004
4440206,Multifamily Housing,4,368.9,4071170006
4453874,Multifamily Housing,41,135.7,4071170008
4560990;4444101;4560968;4444106;4444103;4444104;4444105;4444107;4444109;4444110;4560640;4560824;4560720;4444100;4560744;4444108;4560630;4560639;4560731;4560733;4560734;4560736;4560737;4560738;4560740;4560741;4560742;4560745;4560746;4560747;4560748;4560769,Multifamily Housing,2,211.8,4071170051
4153294,Retail Store,88,119.7,4071170130
4153295,Multifamily Housing,96,82.3,4071170189
4444096,Multifamily Housing,15,297,4071170300
4459708;4459685;4459694;4459706;4444111;4459716;4459684;4459744;4459703;4459695;4444112;4444113;4444115;4444116;4444117;4444118;4444119;4444120;4459680;4459681;4459682;4459683;4459686;4459687;4459688;4459689;4459690;4459691;4459692;4459693;4459696;4459697,Multifamily Housing,57,126.3,4071170401
4438312,K-12 School,79,110.2,4071280002
4451669;4451663;4451664;4451670;4451665;4451667;4451661;4451668;4451666;4451662,Multifamily Housing,76,116.2,4073480001
4160990,Multifamily Housing,85,108.5,4074740050
4459879;4459871;4459899;4459880;4459892;4444196;4459908;4459893;4459888;4459906;4459919;4459872;4444191;4444192;4444193;4444194;4444197;4444198;4459868;4459869;4459870;4459873;4459874;4459875;4459876;4459877;4459878;4459882;4459883;4459884;4459885;4459886,Multifamily Housing,96,81.2,4076280002
4444375;4450809;4450810;4459972;4460001;4459964;4459949;4459950;4459952;4459953;4459954;4459955;4459956;4459957;4459961;4459962;4459963;4459965;4459966;4459967;4459968;4459969;4459970;4459971;4459973;4459974;4459975;4459976;4459977;4459978;4459979;4459980,Multifamily Housing,95,83.5,4076290002
4444235;4444237;4444238;4444239;4444240;4444241;4444242;4444243;4444246;4444247;4444248;4444249;4444251;4444252;4444253;4444254;4444255;4444256;4444257;4444258;4444259;4444236;4561751;4561752;4561753;4561754;4561927;4561928;4561929;4561930,Multifamily Housing,81,89.3,4076320002
4451148;4444265;4451079;4451083;4451084;4451085;4451089;4451090;4451091;4451094;4451095;4451097;4451099;4451101;4451146;4451102;4451103;4444270;4444310;4451105;4451155;4451108;4451109;4451110;4451112;4451111;4451114;4451115;4451152;4451153;4451154;4451157,Multifamily Housing,26,146.9,4076330001
4459580,Multifamily Housing,4,178.4,4076480002
4444358;4444360;4444365;4444366;4452865;4452873;4452881;4452882;4452884;4452885;4452887;4452889;4452890;4452891;4452893;4452902;4452903;4452904;4452905;4452906;4452907;4452908;4452909;4452911;4452912;4452913;4460134;4460136;4460138;4460139;4444362;4444357,Multifamily Housing,3,228.6,4076560002
4444389,Multifamily Housing,,140.7,4076580002
4444401,Multifamily Housing,94,89.7,4076600002
4460200;4460213;4452993;4444436;4460199;4444439;4460210;4452997;4444442;4453002;4460201;4444433;4444437;4444434;4452991;4453006;4460208;4444438;4453012;4452970;4452974;4444435;4444440;4444441;4452967;4452968;4452969;4452971;4452972;4452973;4452975;4452976,Multifamily Housing,56,143.1,4076680010
4440495;4440556;4460111;4460094;4440551;4460112;4440497;4460025;4440514;4440511;4440555;4460108;4460109;4440500;4440515;4440516;4440517;4440521;4440522;4440523;4440524;4440526;4440537;4440538;4440538;4460103;4440501;4440507;4440543;4440498;4440536;4440520,Multifamily Housing,89,108.2,4076700002
4453028,Multifamily Housing,,157.4,4076720002
4456285;4456257;4444425;4449005;4456436;4456261;4456270;4456426;4456421;4456249,Multifamily Housing,77,114.9,4076747501
4453063;4453064;4453065;4453066;4453067;4453068;4444443;4444445;4444446;4444447;4444448;4444449;4444444;4444450,Multifamily Housing,79,101.9,4077320002
4444452;4444455;4453069;4453070;4453071;4444454;4444456;4444453˜,Multifamily Housing,67,116.7,4077320150
4453072;4453073;4444457;4444459;4444458,Multifamily Housing,75,101.4,4077380001
4453089,Multifamily Housing,59,136.8,4077390003
4596702,Multifamily Housing,61,134.2,4077420003
4444502;4444500;4444501;4444503;4453144;4556863;4444498,Multifamily Housing,67,116.7,4077480400
4453145;4453146;4453147;4453148;4444504;4444507;4444508;4444509;4444510;4444511;4444512;4444505;4556865;4444506,Multifamily Housing,82,87.5,4077480500
4444513,Multifamily Housing,68,127.8,4077540003
4440769,Multifamily Housing,36,144,4077550003
4444542,Multifamily Housing,23,164.6,4078400002
Not Available,Multifamily Housing,20,174.3,4078420033
4444563,Multifamily Housing,79,115.1,4078440002
4165855,Multifamily Housing,71,112.6,4079120002
4453359;4453360,Multifamily Housing,53,116.8,4079120050
4444726;4444727;4444728;4444729;4447036;4456837;4456838;4456839;4456840;4456841;4456842;4456843;4456844;4456845;4456846;4456847;4456848;4456849;4456850;4456851;4456852;4456853;4456854;4456855;4456856;4456857;4456858;4456859;4456860;4456861;4456862;4456863,Multifamily Housing,56,119.8,4079140002
4455558;4455559;4455560;4455561;4455562;4455563;4455564;4455565;4455566;4455567;4455568;4455569;4455570;4455571;4455572;4455573;4455574;4455575;4455576;4455577;4455578;4455579;4455580;4455581;4455582;4455583;4455584;4455585;4455586;4455587;4455588;4455589,Multifamily Housing,76,100.9,4079290002
4453688;4453689;4453690;4453691;4453692;4453693;4453694;4453695;4453696;4453697;4453698,Multifamily Housing,57,119.9,4079430200
4447037;4461281;4461282;4461283;4461284;4461285;4461286;4461287;4461288;4461289;4461290;4461291;4461292;4461293;4461294;4461295;4461296;4461297;4461298;4461299;4461300;4461301;4461302;4461303;4461304;4461305;4461306;4461307;4461308;4461309;4461310;4461311,Multifamily Housing,69,108.1,4079450025
4168635,Multifamily Housing,94,,4080920005
4168637,Multifamily Housing,73,111.6,4080920033
4168843,Multifamily Housing,93,93,4081070024
4170057,Multifamily Housing,100,17.8,4081780008
4171524 ; 4453390,Multifamily Housing,67,121.2,4082560108
4455746;4455729;4455730;4455731;4455732;4455733;4455734;4455735;4455736;4455737;4455738;4455739;4455740;4455741;4455742;4455743;4455744;4455745;4455781;4455782;4455783;4455784;4455785;4455786;4455787;4455788;4459763;4459764;4459765;4459766;4459767;4459768,Multifamily Housing,20,155.9,4082760002
4455827;4455828;4455829;4455830;4455831;4455832;4455833;4455834;4455835;4455836;4455837;4455838;4455839;4455840;4455841;4455842;4455843;4455844;4455845;4455846;4455847;4455848;4455789;4455790;4455791;4455792;4455793;4455794;4455795;4455796;4455797;4455798,Multifamily Housing,25,148.3,4082760010
4440454;4461468;4440453;4461469;4461470;4461471;4461472;4461473;4440451;4461421;4461422; 4440456;4461427;4440458;4461428;4461429;4440459;4461430;4461431;4461432;4440460;4461435;4440461;4461436;4440462;4461437;4440463;4461438;4440464;4461439;4440465;446144,Multifamily Housing,,150.3,4082760020
4440432;4461369;4440433;4461370;4440436;4461371;4461372;4461373;4440437;4461374;4440438;4461375;4440418;4461376;4440414;4461377;4461378;4461379;4461380;4461381;4440415;4461382;4440416;4461383;4440417;4461384;4440419;4461385;4440435;4461402;4461386;4461387,Multifamily Housing,29,146,4082760030
4438369,Retail Store,74,146,4082860185
4461477;4461479;4461480;4461481;4461482;4461483;4461484;4461485;4461486;4461487;4461488;4453957;4453958;4453959;4453960;4453961;4453962;4453963;4453964;4453966;4453967;4453968;4453969;4453970;4453971;4453972;4453978;4453979;4453980;4453982;4453983;4453984,Multifamily Housing,27,136,4083060004
4518521;4518522;4518523;4518524;4518525;4518526;4518527;4518530;4518531;4518532;4518533,Multifamily Housing,97,64.5,4083107501
4448089;4448095;448101;4454490;4454599;4454606;4454610;4458789;4518528;4518529,Multifamily Housing,100,39.7,4083107502
4172803,Other,,722.9,4083360001
4455920;4455924;4459792;4459803;4459822;4459823,Multifamily Housing,8,185.9,4083370001
4456008;4456016;4455962;4456016; 4458866;4458884  ,Multifamily Housing,,156.8,4083490036
4456052;4456053;4456064;4456065;4456066;4456067;4456068;4456069;4456070;4456071;4456072;4456073;4456074;4456075;4456076;4456077;4456078;4456079;4456080;4456081;4456082;4456083;4456084;4459170;4459171;4459172;4459173;4459174;4459175;4459176;4459177;4459178,Multifamily Housing,24,160.4,4083530001
4315306;4315307;4315308;4315309;4315310;4315311;4315312;4315313;4315314;4315315;4315316;4315317;4315318;4315319;4315320;4315321;4315322;4315323;4467696,Multifamily Housing,,168.9,4083580001
4456189;4456195;4456201;4456205,Multifamily Housing,19,165.8,4083630001
4173557,Senior Care Community,4,,4084000024
4456352,Multifamily Housing,44,120.3,4084010600
4540496;4540490;4540486;4453988;4461797;4461810;4461824;4461826;4540478;4540480;4442423;4440385;4440364;4440374;4440376;4540478;4461818,Multifamily Housing,46,126.2,4084010675
4534373,K-12 School,93,81.9,4084017501
4460859,Multifamily Housing,2,268.2,4084400001
4460922,Multifamily Housing,31,192.8,4084410001
4459018,Multifamily Housing,2,286.6,4084420001
4461117,Multifamily Housing,1,311.1,4084460001
4461216,Multifamily Housing,1,312.1,4084470001
Not Available,Multifamily Housing,1,321,4084500001
4456886;4456885;4453535;4456888,Multifamily Housing,,42335.1,4084890001
4456754,Multifamily Housing,1,44649.9,4084900002
4453639,Multifamily Housing,2,239,4084920002
4460150,Multifamily Housing,1,372.6,4085110002
4440956;4439453;4439455;4439457;4439458,Retail Store,7,457.8,4085130002
4454005,Multifamily Housing,1,49025.3,4085150002
4457033,Multifamily Housing,1,316.4,4085170002
4445327;44439544;4439540,Other - Specialty Hospital,,300.3,4085200002
4173982,Senior Care Community,7,295.6,4085200175
4457064,Multifamily Housing,2,273.1,4085350002
4438391;4444849;4459240;4861791,Other,,68.2,4086950001
4445478;4537965;4537966;4537967;4537968;4537969;4537970;4537971,Multifamily Housing,5,220,4087430102
4181010,Multifamily Housing,80,136,4088400144
4181355,Multifamily Housing,50,126.8,4088470214
4184145,Multifamily Housing,27,139.9,4089290106
4184239,Multifamily Housing,91,76.6,4089320033
4187479,Supermarket/Grocery Store,100,,4090280001
4535010;4535009,Other,,18.9,4091210024
4189850,Self-Storage Facility,,18.2,4091310045
4312522,Multifamily Housing,40,118.8,4091777501
4191640,Multifamily Housing,93,,4091860049
4192233,Multifamily Housing,67,115.6,4092060001
4192308,Multifamily Housing,94,77.2,4092090049
4192752,Multifamily Housing,74,120.7,4092300066
4192753,Multifamily Housing,1,37661.6,4092300074
4192795,Multifamily Housing,88,86.3,4092310091
4311351,Multifamily Housing,86,74,4092317502
4193153,Multifamily Housing,68,123,4092450240
4193154,Multifamily Housing,81,100.4,4092450300
4193175,Multifamily Housing,93,90.2,4092460305
4193248,Multifamily Housing,12,161.5,4092490040
4193460,Multifamily Housing,73,120.5,4092650006
4525224,Multifamily Housing,,106.4,4092810044
4194900,Multifamily Housing,65,127.4,4093020028
4194984,Multifamily Housing,31,148.9,4093040011
4195066,Non-Refrigerated Warehouse,,110.2,4093060001
4440978,Other,,49.1,4093310030
4196414,Parking,,,4093420007
4587687,Senior Care Community,99,171.6,4093630008
4196899,Office,72,178.7,4093630033
4438605,Hospital (General Medical & Surgical),3,,4093640010
4196964,Non-Refrigerated Warehouse,71,85.6,4093750174
4440093;4440091;4440092,Distribution Center,,37.9,4093750272
4202778,Other,,29.8,4095390001
4206349,Multifamily Housing,62,117,4096210001
4206429,Multifamily Housing,47,126,4096290001
4206484,Multifamily Housing,84,109.8,4096310227
4206485,Multifamily Housing,84,111,4096310232
4206486,Multifamily Housing,23,171.1,4096310241
4206487,Multifamily Housing,63,142.9,4096440001
4206510,Multifamily Housing,72,,4096480024
4206516,Multifamily Housing,,134.4,4096490053
4312614;4592453;4831053,Multifamily Housing,,,4096517501
4206525,Multifamily Housing,71,125.1,4096600002
4206526,Multifamily Housing,22,172.7,4096600015
4206527,Multifamily Housing,77,119.6,4096600030
4206528,Multifamily Housing,80,123.1,4096600135
4206529,Multifamily Housing,52,130.9,4096630002
4206530,Multifamily Housing,34,154.7,4096630020
4206531,K-12 School,87,71.8,4096640001
4453850,Multifamily Housing,82,108.4,4096650001
4453534,Multifamily Housing,50,165.5,4096660001
4206532,Multifamily Housing,83,113.4,4096660040
4206533,Multifamily Housing,90,108.2,4096660052
4206534,Multifamily Housing,85,107.7,4096660080
4206535,Multifamily Housing,87,106.9,4096670001
4206536,Multifamily Housing,86,113.5,4096670015
4206537,Multifamily Housing,83,117.5,4096670025
4206550,Multifamily Housing,81,112.9,4096680027
4206748,Office,89,,4096760007
4206749,Office,64,185.4,4096760013
4206786,Multifamily Housing,98,79.4,4096770167
4206819,Multifamily Housing,68,95.2,4096790052
4206836,Multifamily Housing,82,108.6,4096790200
4206838,Multifamily Housing,74,107.1,4096800018
4206862;4498694,Multifamily Housing,95,83.3,4096810091
4207090,Multifamily Housing,16,186.7,4096920072
4207096,Multifamily Housing,64,121.8,4096930019
4207099,Multifamily Housing,50,139.8,4096930042
4207100,Multifamily Housing,70,100.6,4096930051
4207120,Multifamily Housing,23,160.9,4096940052
4207126,Multifamily Housing,13,157.4,4096950001
Not Available,Multifamily Housing,100,,4097100002
4440103;4440741;4440742,Multifamily Housing,52,126.9,4097100037
4457396;4457396,Multifamily Housing,21,147.7,4097110032
4207706,Multifamily Housing,52,138.1,4097110056
4207707,Multifamily Housing,58,159,4097110075
4457398,Multifamily Housing,36,163.6,4097120102
4207730,Multifamily Housing,72,111.6,4097120146
4207731,Multifamily Housing,12,175.9,4097120151
4207733,Multifamily Housing,62,148.4,4097120161
4207734,Multifamily Housing,67,115.9,4097120169
4207742,Multifamily Housing,62,129.7,4097130102
4207743,Multifamily Housing,46,150,4097130113
4207777,Multifamily Housing,67,125.1,4097140018
4207809,Multifamily Housing,78,116.9,4097140152
4207838,Multifamily Housing,32,141.9,4097150146
4207873,Office,83,116.1,4097150220
4451808;4451809;4451810,Multifamily Housing,58,134.4,4097150228
4207885,Multifamily Housing,76,103.1,4097160126
4207908,Multifamily Housing,50,137.9,4097180002
4440746;4440743;4440747;4440745;4440744,Multifamily Housing,56,116.5,4097190002
4430390;4808425˜˜,Senior Care Community,92,149.9,4097240096
4457401;4457402;4457400,Multifamily Housing,73,120.4,4097360108
4208486,Multifamily Housing,73,112.1,4097380114
4208536,Multifamily Housing,3,186.7,4097400142
4208805,Multifamily Housing,50,132,4097530015
4459168,Multifamily Housing,57,137.7,4097540001
4208834,Multifamily Housing,44,,4097550050
4208831,Multifamily Housing,90,101.9,4097557501
4441691,Parking,,16.9,4097560018
4208850,Office,62,184.9,4097570023
4208858,Other - Entertainment/Public Assembly,,226.5,4097580001
4208859,Multifamily Housing,70,126.5,4097580006
4208864,Multifamily Housing,21,181.8,4097580021
4208865,Multifamily Housing,35,128.8,4097580035
4442231,Office,48,212.2,4097600001
4532030,Multifamily Housing,2,278.3,4097600022
4532031;4835363,Multifamily Housing,68,124.2,4097600025
4440104,Other - Education,,,4097600031
4208875;4855775,Office,,,4097607501
4565232;4857934;4813549;4813609;4813610;4813611,Parking,,284.2,4097610018
4208882,Multifamily Housing,53,,4097610036
4208889,Retail Store,77,,4097610083
4208915,Multifamily Housing,31,156.4,4097620058
4208960,Multifamily Housing,100,50.2,4097640082
4813452,Residence Hall/Dormitory,28,189.7,4097640091
4209026,Multifamily Housing,23,141.9,4097680001
4310510,Worship Facility,37,103.2,4097690054
4209099,Multifamily Housing,67,127.3,4097730005
4209572,Retail Store,89,109.4,4097930001
4209577,Multifamily Housing,43,136.1,4097930033
4536963,Multifamily Housing,89,87.3,4097930069
4209595,Retail Store,,,4097940048
4209597,Office,96,91.3,4097950001
4209598,Worship Facility,80,,4097950003
4209638,Multifamily Housing,36,194.7,4097980039
4209641,Office,,116.4,4097990001
4209721,Multifamily Housing,62,,4098020041
4209732,Multifamily Housing,92,87.2,4098030009
4209733,Multifamily Housing,98,68.9,4098030015
4209734,Multifamily Housing,80,,4098030024
4209830,Multifamily Housing,62,119.2,4098070073
4210051,Multifamily Housing,,156.9,4098140006
4210057,Multifamily Housing,48,121.4,4098140026
4210062,Office,79,180.4,4098150056
4210063,Multifamily Housing,14,144.6,4098150067
4210067,Multifamily Housing,51,115.3,4098170001
4210117,Multifamily Housing,100,28.5,4098200038
4210118,Multifamily Housing,81,105.6,4098200049
4210164,Multifamily Housing,100,68,4098240043
4210221,Multifamily Housing,31,,4098270008
4537604,Multifamily Housing,16,154.6,4098287501
4210303,Multifamily Housing,57,153.1,4098290048
4210316,Multifamily Housing,50,,4098300001
4210334,Multifamily Housing,46,125.5,4098300035
4210382,Multifamily Housing,84,120.5,4098330035
4210396,Multifamily Housing,65,126.7,4098340041
4210397,Multifamily Housing,88,109,4098340056
4589727;4540697,Multifamily Housing,61,134,4098350003
4210407,Multifamily Housing,,,4098360001
4210417,Multifamily Housing,60,152.8,4098360022
4210437,Multifamily Housing,57,126,4098370044
4210438,Multifamily Housing,85,97.8,4098370080
4210566,Multifamily Housing,75,93.8,4098430019
4210567,Multifamily Housing,20,,4098430029
4210594,Multifamily Housing,48,160,4098440110
4210598,Multifamily Housing,70,111,4098450001
4210599,Multifamily Housing,86,88.8,4098450012
4210603,Multifamily Housing,89,110.4,4098450027
4210618,Multifamily Housing,,91.7,4098450086
4210682,Multifamily Housing,86,106.2,4098490130
4210853,Senior Care Community,2,414.7,4098580011
4210855,Senior Care Community,62,219.9,4098580039
4210898,Multifamily Housing,70,125.5,4098590088
4210913,Multifamily Housing,62,138.8,4098600040
4211293,Multifamily Housing,27,126.1,4098840043
4212406,Multifamily Housing,43,150,4099170013
4212912,Multifamily Housing,71,116.3,4099370001
4212917,Multifamily Housing,96,93.9,4099370025
4212921,Multifamily Housing,25,168.1,4099370042
4213062,Multifamily Housing,86,111.1,4099450048
Not Available,Senior Care Community,5,292.2,4099500001
4213177,Multifamily Housing,70,127,4099500009
4213185,Multifamily Housing,91,84.4,4099500057
4213190,Multifamily Housing,88,110.8,4099510011
4213292,Multifamily Housing,65,49579.7,4099540049
4213294,Multifamily Housing,86,121,4099540066
4213744,Multifamily Housing,50,120.3,4099780006
4439742,Self-Storage Facility,,35.2,4099910001
4214025,Non-Refrigerated Warehouse,75,,4100010001
"4438723, 4448841  ",Multifamily Housing,51,114.5,4100500010
4215619,Office,,0,4101010027
4215623,College/University,,,4101020004
4448858,Refrigerated Warehouse,1,,4101140017
4440732;4440733;4440734;4440735;4440736;4440737;4440738;4440739;4457466;4457470;4457473;4215754;4215773;4435245;4435246;4435247;4435248;4435249;4451835;4451836;4451837;4451838;4451839;4457478;4457479;4457481;4457482,Multifamily Housing,3,,4101250033
See Primary BBL,See Primary BBL,,,4101460051
See Primary BBL,See Primary BBL,,,4101250012
See Primary BBL,See Primary BBL,,,4101250063
See Primary BBL,See Primary BBL,,,4101270001
See Primary BBL,See Primary BBL,,,4101480001
See Primary BBL,See Primary BBL,,,4121480100
4216197,Office,,112.4,4101510007
4216210,Parking,,21.2,4101510039
4216266,Self-Storage Facility,,38.4,4101580001
4529896,Multifamily Housing,7,173.5,4101700023
4529895,Multifamily Housing,67,127.7,4101700050
4217106,Multifamily Housing,,151.8,4102007501
4457492,Multifamily Housing,17,,4102120033
4217628,Self-Storage Facility,,42.9,4102170048
4217650,Residence Hall/Dormitory,55,132,4102190001
4540991,Multifamily Housing,9,,4102620006
4538570,Self-Storage Facility,,,4103190001
4220265,Other,,30.7,4103360060
4220266,Other,,35.4,4103360080
4448879,Refrigerated Warehouse,96,,4103430047
4220271,Self-Storage Facility,,93.3,4103430205
4220565,Self-Storage Facility,,16.3,4103520071
4220566,Non-Refrigerated Warehouse,61,67.6,4103520079
4220567,Non-Refrigerated Warehouse,67,64.1,4103520089
4222362,Multifamily Housing,34,,4104610057
4223678,Multifamily Housing,,,4104990075
4223679,Multifamily Housing,61,141.6,4104990083
4460587;4460579;4460567;4460563;4460580;4460543;4434591;4460520;4434587;4442898;4460562;4460564;4460551;4460586;4460576;4460561;4460534;4460540;4434588;4460525;4434590;4460583;4460537;4460527;4460558;4460566;4460572;4460577;4460524;4442897;4460522;4460555,Multifamily Housing,31,141,4105240001
4224410,Office,100,48.8,4105330001
4434606;4434607,Multifamily Housing,,136.4,4105350010
4434611;4434610;4434612,Multifamily Housing,56,114.9,4105380010
4434613;4434614,Multifamily Housing,48,119.5,4105380070
4434635;4434636;4434640;4434639;4434637;4434638,Multifamily Housing,11,167.1,4105900100
4434645;4434646;4434647;4434648;4434649;4434650;4434651;4434652,Multifamily Housing,24,148.2,4105930002
4434653;4434656;4445475;4434654,Multifamily Housing,16,156,4105990100
4228877,Multifamily Housing,56,144,4106810056
4230731,Non-Refrigerated Warehouse,,100.8,4107630023
4230873,Self-Storage Facility,,10.1,4107700017
4231220,Distribution Center,54,47.1,4107890264
4231224,Multifamily Housing,95,75.4,4107890279
4457714,Office,,172.3,4108120091
4231385,Multifamily Housing,86,111.2,4108140008
4434688;4434689;4434690;4434691;4529897,Multifamily Housing,72,113.8,4108190001
4231507,Multifamily Housing,69,,4108210018
4231514;4451927,Multifamily Housing,86,106.2,4108210060
4231516,Multifamily Housing,94,73.4,4108220001
4231556,Hospital (General Medical & Surgical),,,4108260006
4232979,Multifamily Housing,7,,4108910021
4442265,Senior Care Community,44,185.9,4111980050
4536039,Adult Education,,108.6,4111980128
4446894;4446805,Multifamily Housing,53,,4114177501
4446826;4446839,Multifamily Housing,83,92.5,4114177502
4434837;4434830;4434831;4434832;4434833;4434834;4434835;4434836;4434840;4434838,Multifamily Housing,28,132.8,4114210013
4246916,Supermarket/Grocery Store,,,4114290034
4434844;4434843,Multifamily Housing,79,96,4114310036
4446865;4446929;4246927,Multifamily Housing,57,112.9,4114317501
4446930;4446931,Multifamily Housing,65,92.4,4114317502
4434847;4434848,Multifamily Housing,63,113.2,4114340025
4434854,Multifamily Housing,19,151.3,4114340050
4247246,Multifamily Housing,37,142.2,4114340075
4434859;4434858,Multifamily Housing,,,4114340100
4593922,Multifamily Housing,,122,4114407501
4434862;4434863,Multifamily Housing,36,144.1,4114460001
4434868;4434867,Multifamily Housing,69,117.9,4114460012
4434872;4434873,Multifamily Housing,53,128.9,4114460050
4434905;4434906;4434907;4434908;4434909;4434910;4434911;4434912;4434913;4434916,Multifamily Housing,20,172.1,4114590001
4457718,Retail Store,56,196.3,4115430100
Not Available,Hotel,82,166.7,4118860001
Not Available,Hotel,65,179.6,4118860010
4435201;4440624;4440628;4440627;4261713;4435201;4440628,Multifamily Housing,81,114.9,4120450001
See Primary BBL,See Primary BBL,,,4120510020
4262608,Hotel,27,172.3,4120930020
4262609,Hotel,32,251.2,4120930034
4518485,Hotel,16,343.5,4120990016
4262620,Hotel,30,271.8,4120990030
4518486,Hotel,20,199.4,4120990050
4263102,Other,,,4121230001
4310818,Non-Refrigerated Warehouse,23,,4121230035
4263103,Mixed Use Property,,,4121230100
4263211,Multifamily Housing,20,207.5,4121370020
4264016,Multifamily Housing,75,112,4121820080
4457744;4457745;4457746,Multifamily Housing,47,141.7,4122350002
4435280;4435282;4435292;4435293;4435294;4529903,Multifamily Housing,3,231.3,4122350022
See Primary BBL,See Primary BBL,,,4123350044
